Key,Process Order Number,Order Type (packaging or repackaging),Material Number,Product Name,Process Order Creation Date,Batch Number,Process Order Release Date,Packaging Start Date,Packaging End Date,Packaging Head Pkg Sigoff,BRR Start,BRR End,QA Release Date,Product,Batch Status,PO Crearte to Release,Release to Pkg Start,Pkg Start to Finish,PKG Finish to BRR Begin,BRR Start To Finish,BRR Finish to QP Release,FG E2E,Check
10095639H0546H25,3025285,ZSP1,10095639,MIRCERA 120MCG/.3ML 1 ASRG FR,12/11/2014,H0546H25,12/11/2014,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/19/2015,1/19/2015,MIRCERA,7,0,27,1,0,11,0,39,TRUE
10108943H6205H08,3024805,ZSP1,10108943,NEORECOR 10000IU/.6ML 6 ASRG FR,11/12/2014,H6205H08,12/11/2014,1/7/2015,1/13/2015,1/8/2015,1/8/2015,1/16/2015,1/19/2015,NEORECOR,7,29,27,1,0,8,3,68,TRUE
10159513B8500H02,3024826,ZSP1,10159513,AVASTIN 400MG/16ML 1VIAL AT,11/12/2014,B8500H02,12/18/2014,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/16/2015,1/19/2015,AVASTIN,7,36,20,1,0,8,3,68,TRUE
10159517B8500H06,3025035,ZSP1,10159517,AVASTIN 400MG/16ML 1VIAL DE,12/1/2014,B8500H06,12/23/2014,1/7/2015,1/8/2015,1/12/2015,1/12/2015,1/20/2015,1/21/2015,AVASTIN,7,22,15,5,0,8,1,51,TRUE
10159536B8500H03,3025059,ZSP1,10159536,AVASTIN 400MG/16ML 1VIAL SE-FI,12/1/2014,B8500H03,12/19/2014,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/16/2015,1/19/2015,AVASTIN,7,18,19,1,0,8,3,49,TRUE
10110619H0632H01,3025110,ZSP1,10110619,RECORMON 10000IU/.6ML 6 ASRG VE,12/3/2014,H0632H01,12/15/2014,1/7/2015,1/13/2015,1/8/2015,1/8/2015,1/15/2015,1/16/2015,RECORMON,7,12,23,1,0,7,1,44,TRUE
10108944H6205H10,3025122,ZSP1,10108944,NEORECOR 10000IU/.6ML 6 ASRG GB-IE-GRCY,12/3/2014,H6205H10,12/17/2014,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/15/2015,1/16/2015,NEORECOR,7,14,21,1,0,7,1,44,TRUE
10110616H0631H04,3025124,ZSP1,10110616,RECORMON 10000IU/.6ML 6 ASRG CIS,12/3/2014,H0631H04,12/11/2014,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/26/2015,1/26/2015,RECORMON,7,8,27,1,0,18,0,54,TRUE
10110609H0631H06,3025126,ZSP1,10110609,RECORMON 10000IU/.6ML 6 ASRG TW,12/3/2014,H0631H06,12/11/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/21/2015,1/21/2015,RECORMON,7,8,28,4,0,9,0,49,TRUE
10095678H0547H36,3025135,ZSP1,10095678,MIRCERA 30MCG/.3ML 1 ASRG FR,12/3/2014,H0547H36,12/18/2014,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/16/2015,1/16/2015,MIRCERA,7,15,20,1,0,8,0,44,TRUE
10108946H6205H09,3025177,ZSP1,10108946,NEORECOR 10000IU/.6ML 6 ASRG RO-BG-PL,12/4/2014,H6205H09,12/16/2014,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/13/2015,1/13/2015,NEORECOR,7,12,22,1,0,5,0,40,TRUE
10110685H0637H06,3025113,ZSP1,10110685,RECORMON 5000IU/.3ML 6 ASRG EFA,12/3/2014,H0637H06,12/22/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/14/2015,1/15/2015,RECORMON,7,19,17,4,0,2,1,43,TRUE
10110680H0637H05,3025114,ZSP1,10110680,RECORMON 5000IU/.3ML 6 ASRG RS,12/3/2014,H0637H05,12/19/2014,1/8/2015,1/9/2015,1/12/2015,1/12/2015,1/26/2015,1/26/2015,RECORMON,7,16,20,4,0,14,0,54,TRUE
