Plant,Plant Name,Material,Product Family,Dollar Per KG,Product Name,KGs/Vial,Batch,Actual finish,Year,Quarter,Month,DS Goods Issued (KGs),Expected Vials,Actual Filled Vials,Insp Passed Vials,Packed Vials,Filling Yield,Insp Yield,Packed Yield,Overall Yield,KGs Issued,KG's Filled,KG's Inspected,KG's Packed,KG's lost - Fill,KG's lost - Insp,KG's lost - Pkg,Total KG's lost,$s lost - Fill,$s lost - Insp,$s lost - Pkg,Total $s lost
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3069568,1/1/2016,2016,Q1-2016,Jan,279.8,43856,42080,41722,38468,95.95%,95.13%,87.71%,87.71%,279.8,268.468,266.186,245.424,11.332,13.614,34.376,34.376,"$1,784,774","$2,144,186","$5,414,282","$5,414,282.42"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3076445,1/19/2016,2016,Q1-2016,Jan,276.6,15435,14856,14218,13791,96.25%,92.11%,89.35%,89.35%,276.6,94.784,90.708,87.987,3.693,7.769,10.49,10.49,"$581,630","$1,223,555","$1,652,153","$1,652,152.50"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3076446,1/23/2016,2016,Q1-2016,Jan,277.4,15480,15294,14919,14800,98.80%,96.38%,95.61%,95.61%,277.4,97.577,95.186,94.425,1.185,3.576,4.337,4.337,"$186,660","$563,184","$683,118","$683,118.34"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3076447,1/27/2016,2016,Q1-2016,Jan,277.9,15508,15360,14900,14482,99.05%,96.08%,93.39%,93.39%,277.9,98,95.06,92.398,0.94,3.88,6.542,6.542,"$148,039","$611,088","$1,030,303","$1,030,302.58"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3076448,1/31/2016,2016,Q1-2016,Jan,276.9,15452,15073,14945,13451,97.55%,96.72%,87.05%,87.05%,276.9,96.169,95.351,85.816,2.415,3.233,12.768,12.768,"$380,410","$509,156","$2,010,935","$2,010,935.43"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3082335,2/22/2016,2016,Q1-2016,Feb,277.6,15491,14964,14815,14089,96.60%,95.63%,90.95%,90.95%,277.6,95.473,94.518,89.887,3.36,4.315,8.946,8.946,"$529,251","$679,620","$1,409,063","$1,409,062.98"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3082337,2/4/2016,2016,Q1-2016,Feb,283.1,15798,15111,14431,13449,95.65%,91.35%,85.13%,85.13%,283.1,96.407,92.068,85.808,4.384,8.723,14.983,14.983,"$690,546","$1,373,829","$2,359,882","$2,359,881.78"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3082339,2/26/2016,2016,Q1-2016,Feb,276.2,15413,14943,14592,13439,96.95%,94.67%,87.19%,87.19%,276.2,95.335,93.095,85.741,2.999,5.24,12.594,12.594,"$472,375","$825,235","$1,983,570","$1,983,569.63"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3088778,3/20/2016,2016,Q1-2016,Mar,275.3,15363,14741,14446,13767,95.95%,94.03%,89.61%,89.61%,275.3,94.045,92.164,87.832,3.97,5.85,10.182,10.182,"$625,208","$921,448","$1,603,690","$1,603,690.25"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3088780,3/13/2016,2016,Q1-2016,Mar,276.3,14833,14477,14064,12869,97.60%,94.82%,86.76%,86.76%,276.3,92.361,89.728,82.102,2.271,4.903,12.53,12.53,"$357,709","$772,293","$1,973,533","$1,973,532.91"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3088781,3/16/2016,2016,Q1-2016,Mar,269,15597,15574,15247,13996,99.85%,97.75%,89.74%,89.74%,269,99.36,97.274,89.297,0.149,2.236,10.212,10.212,"$23,509","$352,143","$1,608,432","$1,608,432.34"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3088783,3/25/2016,2016,Q1-2016,Mar,276.7,15441,15024,14776,13535,97.30%,95.69%,87.66%,87.66%,276.7,95.853,94.271,86.352,2.66,4.241,12.16,12.16,"$418,925","$668,022","$1,915,230","$1,915,230.25"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3096620,4/26/2016,2016,Q2-2016,Apr,276.8,15446,14875,14481,14408,96.30%,93.75%,93.28%,93.28%,276.8,94.902,92.387,91.925,3.646,6.161,6.623,6.623,"$574,290","$970,387","$1,043,141","$1,043,141.44"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3096622,4/10/2016,2016,Q2-2016,Apr,277.4,15480,14814,14296,13424,95.70%,92.35%,86.72%,86.72%,277.4,94.515,91.207,85.643,4.247,7.555,13.118,13.118,"$668,864","$1,189,879","$2,066,151","$2,066,150.51"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3096623,4/15/2016,2016,Q2-2016,Apr,276.9,15452,14888,14806,13710,96.35%,95.82%,88.73%,88.73%,276.9,94.986,94.463,87.473,3.598,4.121,11.111,11.111,"$566,734","$649,015","$1,749,982","$1,749,982.20"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3096624,4/20/2016,2016,Q2-2016,Apr,276,15402,15048,14634,13536,97.70%,95.01%,87.89%,87.89%,276,96.003,93.363,86.361,2.26,4.9,11.902,11.902,"$355,959","$771,774","$1,874,627","$1,874,626.89"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3096625,5/1/2016,2016,Q2-2016,May,277.3,15474,14902,14857,14248,96.30%,96.01%,92.07%,92.07%,277.3,95.073,94.788,90.902,3.653,3.938,7.824,7.824,"$575,327","$620,249","$1,232,344","$1,232,343.65"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3104423,5/5/2016,2016,Q2-2016,May,274.5,15318,14973,14726,13887,97.75%,96.14%,90.66%,90.66%,274.5,95.53,93.954,88.599,2.199,3.775,9.131,9.131,"$346,328","$594,588","$1,438,062","$1,438,061.87"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3110285,6/26/2016,2016,Q2-2016,Jun,279.9,15619,15362,15170,14745,98.35%,97.12%,94.40%,94.40%,279.9,98.008,96.783,94.073,1.644,2.869,5.579,5.579,"$258,970","$451,923","$878,734","$878,733.94"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3110286,6/22/2016,2016,Q2-2016,Jun,269.6,15045,14849,14203,13209,98.70%,94.41%,87.80%,87.80%,269.6,94.737,90.616,84.273,1.248,5.369,11.712,11.712,"$196,529","$845,596","$1,844,637","$1,844,636.86"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3110751,7/1/2016,2016,Q3-2016,Jul,275.7,15385,15339,15247,14988,99.70%,99.10%,97.42%,97.42%,275.7,97.862,97.275,95.621,0.294,0.882,2.535,2.535,"$46,379","$138,859","$399,312","$399,312.34"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3110751,6/30/2016,2016,Q2-2016,Jun,275.7,15385,15270,15178,13964,99.25%,98.65%,90.76%,90.76%,275.7,97.42,96.836,89.089,0.736,1.321,9.068,9.068,"$115,947","$208,010","$1,428,142","$1,428,141.94"
