process_order_number,order_type,material_number,product_name,process_order_creation_date,batch_number,process_order_release_date,packaging_line_start_date,packaging_line_finish_date,packaging_final_check_date,brr_start_date,brr_end_date,qa_release_date,IN_order_type,IN_created_from,IN_created_to
000003084116,ZSP1,000000000010066551,BONDRONA 6MG/6ML 1VIAL IT-CLIN,12/23/2016,,,,,2/1/17 13:45,2/2/17 14:27,2/3/17 11:07,,ZSP1,1/1/2016,12/31/2016
000003080817,ZSP1,000000000010174956,RECORMON 50000IU 1VILY MX,10/27/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003084189,ZSP1,000000000010067133,BONDRONA 6MG/6ML 1VIAL CIS,12/27/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083889,ZSP1,000000000010174960,NEORECOR 50000IU 1VILY IT-PU,12/21/2016,,12/21/2016,,,1/23/17 13:05,1/24/17 10:28,2/7/17 15:35,,ZSP1,1/1/2016,12/31/2016
000003076479,ZSP1,000000000010067624,RECORMON 50000IU 1VILY SAMCA,6/16/2016,,6/16/2016,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083048,ZSP1,000000000010174960,NEORECOR 50000IU 1VILY IT-PU,11/30/2016,,12/21/2016,,,1/20/17 10:41,1/20/17 13:56,2/6/17 9:25,,ZSP1,1/1/2016,12/31/2016
000003083879,ZSP1,000000000010071572,BONVIVA 3MG/3ML 1ASRG DE,12/21/2016,,,,,1/16/17 10:06,1/18/17 9:56,1/20/17 14:52,,ZSP1,1/1/2016,12/31/2016
000003083039,ZSP1,000000000010174961,NEORECOR 50000IU 1VILY PL,11/30/2016,,12/15/2016,1/4/2017,,1/17/17 13:04,1/18/17 8:11,2/7/17 8:28,,ZSP1,1/1/2016,12/31/2016
000003082803,ZSP1,000000000010071576,BONVIVA 3MG/3ML 1ASRG CH,11/28/2016,,,,,1/13/17 14:42,1/17/17 8:57,1/18/17 9:33,,ZSP1,1/1/2016,12/31/2016
000003084037,ZSP1,000000000010174962,NEORECOR 50000IU 1VILY ES,12/21/2016,,12/30/2016,,,1/27/17 10:50,2/2/17 14:15,2/6/17 9:51,,ZSP1,1/1/2016,12/31/2016
000003083900,ZSP1,000000000010071579,BONVIVA 3MG/3ML 1ASRG DK-NO-IS,12/21/2016,,1/5/2017,,,1/13/17 14:36,1/18/17 10:21,1/19/17 13:23,,ZSP1,1/1/2016,12/31/2016
000003079711,ZSP1,000000000010174962,NEORECOR 50000IU 1VILY ES,9/27/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083894,ZSP1,000000000010071604,BONVIVA 3MG/3ML 1ASRG FE,12/21/2016,,,,,1/16/17 10:07,1/18/17 16:06,1/24/17 15:58,,ZSP1,1/1/2016,12/31/2016
000003084036,ZSP1,000000000010174963,RECORMON 50000IU 1VILY PRISA,12/21/2016,,12/30/2016,,,1/25/17 11:31,2/2/17 11:09,2/6/17 9:40,,ZSP1,1/1/2016,12/31/2016
000003083892,ZSP1,000000000010071610,BONVIVA 3MG/3ML 1ASRG NL,12/21/2016,,,,,2/7/17 13:34,2/8/17 12:01,2/9/17 8:47,,ZSP1,1/1/2016,12/31/2016
000003084068,ZSP1,000000000010174964,RECORMON 50000IU 1VILY UY-BO-PY,12/21/2016,,12/30/2016,,,1/23/17 12:57,1/25/17 8:17,2/7/17 9:06,,ZSP1,1/1/2016,12/31/2016
000003083901,ZSP1,000000000010071612,BONVIVA 3MG/3ML 1ASRG PL,12/21/2016,,,,,2/7/17 13:33,2/8/17 16:23,2/15/17 16:15,,ZSP1,1/1/2016,12/31/2016
000003080524,ZSP1,000000000010176978,MIRCERA 200MCG/0.3ML 1ASRG Q-BATCH,10/13/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083902,ZSP1,000000000010078685,MIRCERA 50MCG/0.3ML 1ASRG CH,12/21/2016,,,,,1/25/17 11:05,1/26/17 8:08,2/3/17 10:52,,ZSP1,1/1/2016,12/31/2016
000003080507,ZSP1,000000000010176978,MIRCERA 200MCG/0.3ML 1ASRG Q-BATCH,10/13/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003075348,ZSP1,000000000010078685,MIRCERA 50MCG/0.3ML 1ASRG CH,5/30/2016,,6/14/2016,6/14/2016,,,,,,ZSP1,1/1/2016,12/31/2016
000003081067,ZSP1,000000000010176979,MIRCERA 50MCG/0.3ML 1ASRG Q-BATCH,11/3/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083891,ZSP1,000000000010078686,MIRCERA 75MCG/0.3ML 1ASRG CH,12/21/2016,,,,,2/3/17 9:52,2/6/17 10:01,2/8/17 9:31,,ZSP1,1/1/2016,12/31/2016
000003084152,ZSP1,000000000010178351,RECORMON 2000IU/0.3ML 6ASRG GCC,12/27/2016,,,,,2/20/17 14:14,2/21/17 10:03,3/21/17 11:21,,ZSP1,1/1/2016,12/31/2016
000003083893,ZSP1,000000000010078687,MIRCERA 100MCG/0.3ML 1ASRG CH,12/21/2016,,,,,2/3/17 10:35,2/6/17 12:26,2/7/17 12:31,,ZSP1,1/1/2016,12/31/2016
000003073767,ZSP1,000000000010061941,BONDRONA 6MG/6ML 1VIAL DE,4/22/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003079906,ZSP1,000000000010079911,BONVIVA 3MG/3ML 1ASRG AT,9/29/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003084168,ZSP1,000000000010178892,RECORMON 4000IU/0.3ML 6ASRG GCC,12/27/2016,,,,,3/3/17 10:00,3/6/17 10:00,3/21/17 10:24,,ZSP1,1/1/2016,12/31/2016
000003083681,ZSP1,000000000010083426,BONVIVA 3MG/3ML 1ASRG EFA,12/15/2016,,1/4/2017,,,1/11/17 10:13,1/16/17 12:15,1/19/17 14:45,,ZSP1,1/1/2016,12/31/2016
000003052479,ZSP1,000000000010083426,BONVIVA 3MG/3ML 1ASRG EFA,1/27/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
