process_order_number,order_type,material_number,product_name,product_family,process_order_creation_date,batch_number,process_order_release_date,packaging_line_start_date,packaging_line_finish_date,packaging_final_check_date,brr_start_date,brr_end_date,qa_release_date,IN_order_type,IN_created_from,IN_created_to
000003049849,ZSP1,000000000010159245,HERCEPTI 150MG 1VILY IV IT-CLIN,HERCEPTIN,04/01/2016,H4636H01,14/01/2016,22/01/2016,22/01/2016,25/01/16 12:43,02/02/16 14:40,03/02/16 10:27,04/02/2016,ZSP1,01/01/2016,31/12/2016
000003049860,ZSP1,000000000010159235,HERCEPTI 150MG 1VILY IV ELL,HERCEPTIN,04/01/2016,H4611H09,04/01/2016,15/01/2016,15/01/2016,15/01/16 15:33,29/01/16 08:11,29/01/16 12:11,01/02/2016,ZSP1,01/01/2016,31/12/2016
000003049861,ZSP1,000000000010159236,HERCEPTI 150MG 1VILY IV ES,HERCEPTIN,04/01/2016,H4634H03,15/01/2016,21/01/2016,21/01/2016,22/01/16 07:02,26/01/16 13:18,01/02/16 15:55,01/02/2016,ZSP1,01/01/2016,31/12/2016
000003050156,ZSP1,000000000010159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,05/01/2016,B8009H03,14/01/2016,22/01/2016,22/01/2016,25/01/16 12:56,01/02/16 13:58,04/02/16 13:19,04/02/2016,ZSP1,01/01/2016,31/12/2016
000003050157,ZSP1,000000000010159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,05/01/2016,B8013H01,10/02/2016,15/02/2016,15/02/2016,16/02/16 14:44,01/03/16 09:51,02/03/16 10:03,02/03/2016,ZSP1,01/01/2016,31/12/2016
000003050158,ZSP1,000000000010169199,PERJETA 420MG/14ML 1VIAL GR-CY,PERJETA,05/01/2016,H0141H09,27/01/2016,02/02/2016,03/02/2016,03/02/16 17:11,12/02/16 07:54,15/02/16 15:42,16/02/2016,ZSP1,01/01/2016,31/12/2016
000003050159,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,05/01/2016,B8009H08,20/01/2016,27/01/2016,27/01/2016,28/01/16 13:26,02/02/16 07:59,09/02/16 10:23,09/02/2016,ZSP1,01/01/2016,31/12/2016
000003050180,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,05/01/2016,B8009H10,25/01/2016,27/01/2016,27/01/2016,28/01/16 13:32,02/02/16 08:11,09/02/16 10:38,10/02/2016,ZSP1,01/01/2016,31/12/2016
000003050181,ZSP1,000000000010159514,AVASTIN 400MG/16ML 1VIAL BE,AVASTIN,05/01/2016,B8009H11,25/01/2016,27/01/2016,27/01/2016,28/01/16 13:20,02/02/16 08:25,09/02/16 10:31,09/02/2016,ZSP1,01/01/2016,31/12/2016
000003050182,ZSP1,000000000010159515,AVASTIN 400MG/16ML 1VIAL BG,AVASTIN,05/01/2016,B8009H14,28/01/2016,29/01/2016,29/01/2016,01/02/16 09:33,01/02/16 14:17,09/02/16 11:30,10/02/2016,ZSP1,01/01/2016,31/12/2016
