Key,Process Order Number,Order Type (packaging or repackaging),Material Number,Product Name,Process Order Creation Date,Batch Number,Process Order Release Date,Packaging Line  Start,Packaging Line Finish,Packaging  Final Check Date,BRR Start Date,BRR End Date,QA Release Date,Product,Batch Status,PO Create to PO Release,PO Release to Pkg Start,Pkg Start to Pkg Finish,Pkg Finish to Pkg Final Check,Pkg Final Check to BRR Begin,BRR Begin To BRR Finish,BRR Finish to QP Release,FG E2E,Check
10095639H0546H25,3025285,ZSP1,10095639,MIRCERA 120MCG/.3ML 1 ASRG FR,11-Dec-14,H0546H25,11-Dec-14,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,19-Jan-15,19-Jan-15,MIRCERA ,7,0,27,0,1,0,11,0,39,TRUE
10110613H0631H05,3024771,ZSP1,10110613,RECORMON 10000IU/.6ML 6 ASRG EFA,11-Nov-14,H0631H05,11-Dec-14,7-Jan-15,8-Jan-15,8-Jan-15,8-Jan-15,20-Jan-15,0,RECORMON ,7,30,27,1,0,0,12,0,0,0
10108943H6205H08,3024805,ZSP1,10108943,NEORECOR 10000IU/.6ML 6 ASRG FR,12-Nov-14,H6205H08,11-Dec-14,7-Jan-15,13-Jan-15,8-Jan-15,8-Jan-15,16-Jan-15,19-Jan-15,NEORECOR ,7,29,27,6,-5,0,8,3,68,TRUE
10159513B8500H02,3024826,ZSP1,10159513,AVASTIN 400MG/16ML 1VIAL AT,12-Nov-14,B8500H02,18-Dec-14,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,16-Jan-15,19-Jan-15,AVASTIN ,7,36,20,0,1,0,8,3,68,TRUE
10159517B8500H06,3025035,ZSP1,10159517,AVASTIN 400MG/16ML 1VIAL DE,1-Dec-14,B8500H06,23-Dec-14,7-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,20-Jan-15,21-Jan-15,AVASTIN ,7,22,15,1,4,0,8,1,51,TRUE
10159536B8500H03,3025059,ZSP1,10159536,AVASTIN 400MG/16ML 1VIAL SE-FI,1-Dec-14,B8500H03,19-Dec-14,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,16-Jan-15,19-Jan-15,AVASTIN ,7,18,19,0,1,0,8,3,49,TRUE
10110619H0632H01,3025110,ZSP1,10110619,RECORMON 10000IU/.6ML 6 ASRG VE,3-Dec-14,H0632H01,15-Dec-14,7-Jan-15,13-Jan-15,8-Jan-15,8-Jan-15,15-Jan-15,16-Jan-15,RECORMON ,7,12,23,6,-5,0,7,1,44,TRUE
10108944H6205H10,3025122,ZSP1,10108944,NEORECOR 10000IU/.6ML 6 ASRG GB-IE-GRCY,3-Dec-14,H6205H10,17-Dec-14,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,15-Jan-15,16-Jan-15,NEORECOR ,7,14,21,0,1,0,7,1,44,TRUE
10110616H0631H04,3025124,ZSP1,10110616,RECORMON 10000IU/.6ML 6 ASRG CIS,3-Dec-14,H0631H04,11-Dec-14,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,26-Jan-15,26-Jan-15,RECORMON ,7,8,27,0,1,0,18,0,54,TRUE
10110609H0631H06,3025126,ZSP1,10110609,RECORMON 10000IU/.6ML 6 ASRG TW,3-Dec-14,H0631H06,11-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,21-Jan-15,21-Jan-15,RECORMON ,7,8,28,0,4,0,9,0,49,TRUE
10095678H0547H36,3025135,ZSP1,10095678,MIRCERA 30MCG/.3ML 1 ASRG FR,3-Dec-14,H0547H36,18-Dec-14,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,16-Jan-15,16-Jan-15,MIRCERA ,7,15,20,0,1,0,8,0,44,TRUE
10108946H6205H09,3025177,ZSP1,10108946,NEORECOR 10000IU/.6ML 6 ASRG RO-BG-PL,4-Dec-14,H6205H09,16-Dec-14,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,13-Jan-15,13-Jan-15,NEORECOR ,7,12,22,0,1,0,5,0,40,TRUE
10067621H0678H04,3025262,ZSP1,10067621,RECORMON 50000IU 1 VILY MX,8-Dec-14,H0678H04,10-Dec-14,7-Jan-15,13-Jan-15,8-Jan-14,8-Jan-14,26-Jan-15,26-Jan-15,RECORMON ,7,2,28,6,0,0,0,0,49,0
10120743H0637/01,3024709,ZSP1,10120743,RECORMON 5000IU/0.3ML 6ASRG CN,5-Nov-14,H0637/01,19-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,26-Jan-14,26-Jan-14,RECORMON ,0,44,20,0,4,0,0,0,0,0
10110685H0637H06,3025113,ZSP1,10110685,RECORMON 5000IU/.3ML 6 ASRG EFA,3-Dec-14,H0637H06,22-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,14-Jan-15,15-Jan-15,RECORMON ,7,19,17,0,4,0,2,1,43,TRUE
10110680H0637H05,3025114,ZSP1,10110680,RECORMON 5000IU/.3ML 6 ASRG RS,3-Dec-14,H0637H05,19-Dec-14,8-Jan-15,9-Jan-15,12-Jan-15,12-Jan-15,26-Jan-15,26-Jan-15,RECORMON ,7,16,20,1,3,0,14,0,54,TRUE
10112463H0547H38,3025117,ZSP1,10112463,MIRCERA 30MCG/.3ML 1 ASRG DK-NO-IS,3-Dec-14,H0547H38,18-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,16-Jan-15,16-Jan-15,MIRCERA ,7,15,21,0,4,0,4,0,44,TRUE
10110681H6212H05,3025128,ZSP1,10110681,RECORMON 5000IU/.3ML 6 ASRG CH,3-Dec-14,H6212H05,19-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,22-Jan-15,23-Jan-15,RECORMON ,7,16,20,0,4,0,10,1,51,TRUE
10095681H0547H39,3025142,ZSP1,10095681,MIRCERA 30MCG/.3ML 1 ASRG IT-PU,3-Dec-14,H0547H39,7-Jan-15,7-Jan-15,8-Jan-15,8-Jan-15,8-Jan-15,15-Jan-15,16-Jan-15,MIRCERA ,7,35,0,1,0,0,7,1,44,TRUE
10140205H0547H37,3025286,ZSP1,10140205,MIRCERA 30MCG/0.3ML 1ASRG ZA,12-Dec-14,H0547H37,18-Dec-14,8-Jan-15,8-Jan-15,8-Jan-15,8-Jan-15,19-Jan-15,20-Jan-15,MIRCERA ,7,6,21,0,0,0,11,1,39,TRUE
10142035H0561H35,3025293,ZSP1,10142035,MIRCERA 100MCG/0.3ML 1ASRG UY-BO-PY,16-Dec-14,H0561H35,19-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,21-Jan-15,21-Jan-15,MIRCERA ,7,3,20,0,4,0,9,0,36,TRUE
10128554H0018H28,3025298,ZSP1,10128554,MIRCERA 360MCG/0.6ML 1ASRG PT,17-Dec-14,H0018H28,17-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,14-Jan-15,15-Jan-15,MIRCERA ,7,0,22,0,4,0,2,1,29,TRUE
10112466H0561H34,3025306,ZSP1,10112466,MIRCERA 100MCG/.3ML 1 ASRG DK-NO-IS,16-Dec-14,H0561H34,19-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,19-Jan-15,19-Jan-15,MIRCERA ,7,3,20,0,4,0,7,0,34,TRUE
10095656H0547H23,3025319,ZSP1,10095656,MIRCERA 200MCG/.3ML 1 ASRG ELL,17-Dec-14,H0547H23,17-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,21-Jan-15,21-Jan-15,MIRCERA ,7,0,22,0,4,0,9,0,35,TRUE
